"Отметка времени","Keel/Language/Язык","Teie sugu","Teie vanus (aastad)","30 sekindit ajaintervall","1 minut ajaintervall","1 minut ja 30 sekindit ajaintervall","2 minutit ajaintervall","Sex","Age (years)","30 seconds time interval","1 minute time interval","1 minute and 30 seconds time interval","2 minutes time interval","Ваш пол","Ваш возраст (полных лет)","Интервал в 30 секунд","Интервал в 1 минуту","Интервал в 1 минуту и 30 секунд","Интервал в 2 минуты"
"2020/12/15 12:40:58 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","25","31","56","1 минута 3 секунды","1 минута 31 секунда "
"2020/12/16 4:44:56 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","47","23","50","1,46","2,24"
"2020/12/16 4:51:31 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","17","27","48","1.12 ","1.39"
"2020/12/16 4:55:24 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","14","30","1","1.30","2"
"2020/12/16 5:02:30 PM GMT+2","Eesti","Naine","17 aastat","29 sekundit","1 minut ja 8 sekundit","1 minut 28 sekundit","2 minutit","","","","","","","","","","","",""
"2020/12/16 5:33:45 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","18","25","40","1 мин","1.47"
"2020/12/16 5:47:41 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","21","24,58","32,88","1,06","1,22"
"2020/12/17 9:51:19 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","24","35","48","1.26","1.58"
"2020/12/17 2:25:10 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","40","15","32","49","83"
"2020/12/17 8:51:07 PM GMT+2","Eesti","Mees","17","20,76","47,41","1,18,45","1,27,68","","","","","","","","","","","",""
